,user,post_link,image_link,post_date,likes,media_type,caption,comments,location,is_ad
0,joshidaniel,https://www.instagram.com/p/CIUxWgyhz6t,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/129722444_1317689698565726_8985209326401765834_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=hflVaP6QQeQAX8sONFq&tp=1&oh=5bf5fca637507c711baee84c0e07c631&oe=5FF280B6&ig_cache_key=MjQ1NTgwNDc0ODEzODc1NzgwNQ%3D%3D.2,2020-12-03 05:52:41,994,image,"A beautiful evening.

@joshidaniel #joshidaniel #hellofrom #bikersofindia #bikersofinstagram #bikersofkerala #ktmindia #readytorace #ktmholics #dukelife #duke200 #ktmworld #dukeforlife #instaktm #ktmforlife #ktmfamily #onlyduker #ktmkerala #bikersofkerala #bikersofindia #bikersofinstagram #bangaloremotorcycleclub #shotoniphone #shotoniphone11 #mobilephotography #mobilephotographyindia #automotivephotographer #automotivephoto #karnatakatourism #karnatakaphotographers #karnatakapictures",👌; So beautiful; @k_d__cooper 😊🙏; Wow 😮 nice 💪😎🙌; ,Karnataka,False
1,joshidaniel,https://www.instagram.com/p/CISJ93aBnsi,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/129210922_1365526153804658_8491239781762454796_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=4ox00_FITJkAX_HSmHr&tp=1&oh=ac7fab3dc0326ae4a79304df0e22e772&oe=5FCBC7C8,2020-12-02 05:30:14,1113,video,"Bigrock Trail Attack 2020.

#REHimalayan #BigRockDirtPark #TrailAttack2020

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield @theroyalenfieldhimalayan @bigrockdirtpark

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #hypersmooth #gopromoto #moreeverything #hellofrom #royalenfieldkarnataka #royalenfieldhimalayan #allroadsnoroads #builtforallroadsbuiltfornoroads #ridemore #ridepure #puremotorcycling #royalenfieldindia #royalenfieldriders #royalenfieldreposts #bikersofkerala #hellofrom #bikersofindia #bikersofinstagram #bikersofkerala #reelsindia #feelitreelit",@_mr__torque thank you 😊; ⚡️; Awesome 👍; 👌👌👌👌👌; ,,False
2,joshidaniel,https://www.instagram.com/p/CIPlNNwBcPp,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/128687015_204042084540644_7945766529420893245_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=DbD8zgyBVc4AX--hu_o&tp=1&oh=f7fcadd3f0e29606a4851728975ebe06&oe=5FF4AFFA&ig_cache_key=MjQ1NDM0Mzk1Nzc3ODY0NTk5Mw%3D%3D.2,2020-12-01 05:30:21,1334,image,"Day one of the Bigrock Trail Attack 2020.

#REHimalayan #BigRockDirtPark #TrailAttack2020

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield @theroyalenfieldhimalayan @bigrockdirtpark

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #royalenfieldkarnataka #royalenfieldhimalayan #allroadsnoroads #builtforallroadsbuiltfornoroads #ridemore #ridepure #puremotorcycling #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #bikersofkerala #hellofrom #bikersofindia #bikersofinstagram #bikersofkerala #offroading",❤️❤️; @_valmakry_93 😊🙏; 👏👏👏; @chaseblackracing 😊🙏; ,Bannerghatta,False
3,joshidaniel,https://www.instagram.com/p/CH9nm-YBZ4y,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/126989132_411280309904131_2459913020982740465_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=Nsyk78PH4pUAX_POZCD&se=7&tp=1&oh=188e0ae1161bced92ff04caf5c6c65da&oe=5FF21ACB&ig_cache_key=MjQ0OTI4Nzk3NDQ4ODQ4MTMzMA%3D%3D.2,2020-11-24 06:05:01,1704,image,"With the Royal Enfield Meteor 350.

#MissOutOnNothing #RoyalEnfieldMeteor

Shot on #GoProMAX • @gopro @goproindia @royalenfield

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopro360 #littleplanet #littleplanets #tinyplanet #tinyplanets #gopromoto #moreeverything #hellofrom #royalenfieldkarnataka #cruiseeasy #tripstory #meteor350 #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #bikersofkerala #bikersofindia #bikersofinstagram",@mi.nikhil thank you 😊; @_.rule_.breaker 😊🙏; @chaseblackracing thank you 😊; Fantastic shot🔥; ,Karnataka,False
4,joshidaniel,https://www.instagram.com/p/CH7GCg1BtHN,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/126857005_308652916858121_8964759085121628271_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=KgLg0OGWKM4AX9AiKJR&se=7&tp=1&oh=012eec26f251e4dd3844558ca5ebb6f8&oe=5FF23E28&ig_cache_key=MjQ0ODU3NzM4MzM3MzM5NDM4MQ%3D%3D.2,2020-11-23 06:33:12,2182,image,"Ride

Riding Gear: Royal Enfield Touring Boots • Royal Enfield x Levis Jeans

Shot on #GoProHERO9 • @gopro @goproindia

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #bikersofindia #bikersofinstagram #bikersofkerala #ktmindia #readytorace #ktmholics #dukelife #duke200 #ktmworld #dukeforlife #instaktm #ktmforlife #ktmfamily #onlyduker #ktmkerala #bikersofkerala #bikersofindia #bikersofinstagram #bangaloremotorcycleclub #reapparel #regear #motionblur",@arun_wanderlust7 😊; @criz_john 😊🙏; @peter_carlstrom 😊; @_shine_tc_ 😊🙏; ,Karnataka,False
5,joshidaniel,https://www.instagram.com/p/CH4X3dLhbGh,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/126879199_168114684977066_4571341870430582903_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=rCcofwzH0PQAX9B1UVT&se=8&tp=1&oh=c4495da1e53be3c45d71d6356a3e0fd0&oe=5FF2CF38&ig_cache_key=MjQ0NzgxMTM2MDIzNTk0OTAzOQ%3D%3D.2,2020-11-22 05:11:15,2256,sidecar,"Explore V3 is an all-weather CE certified mesh riding jacket from Royal Enfield. The one I have is a full black colour one - my personal favourite. Compared to the Explore V2 version, the new upgrade has better protection with Knox MICRO-LOCK CE Level 2 protectors at elbow and shoulder and the jacket itself is CE certified. The jacket comes with a thermal liner and a rain jacket that can be worn as an inner or outer liner. The rain jacket fits in the back pocket of the jacket and so easily usable when it rains all suddenly. Fit of the jacket is also excellent and it’s very light. The only thing that I feel could have been better is the back protector - it feels quiet thin. Apart from that, Explore V3 is good for daily use and long distance rides.

Riding Gear: NH 44 Helmet • Explore V3 Jacket • Burnish Gloves • Royal Enfield x Levis Jeans

#REGear #REApparel #RoyalEnfield

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #royalenfieldkarnataka #tripstory #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #bikersofkerala #bikersofindia #bikersofinstagram #ridingjacket #ridinggears #knoxarmour #royalenfieldxlevis #bearded #beardselfie","@joshidaniel 😘; @joshidaniel 🙌🙌; @joshidaniel well, I really loved them 😊🐦💙; @joshidaniel i miss your faces 😊; ",Karnataka,False
6,joshidaniel,https://www.instagram.com/p/CHzeIJrB7AP,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/125913529_2908339569432319_4489571301876204667_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=bYb4Yb2ZGbsAX8u_CS2&tp=1&oh=5614e7286e95eb0e544bffcc719501b6&oe=5FF257B9&ig_cache_key=MjQ0NjQzMTUyMDU5NzMwNTgzMw%3D%3D.2,2020-11-20 07:29:45,1626,sidecar,"Explore V3 mesh riding jacket from
@royalenfield. The jacket is CE certified and has Knox MICRO-LOCK CE Level 2 protectors at elbow and shoulder. Comes with a thermal liner and a rain jacket that can be worn as an inner or outer liner.

#REGear #REApparel #RoyalEnfield

@joshidaniel #joshidaniel #hellofrom #royalenfieldkarnataka #tripstory #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #ridinggear #ridingjacket #ridinggears #trustinknox #knoxarmour #bikersofkerala #bikersofindia #bikersofinstagram #lowlightphotography #nikonasia #nikonindiaofficial #bangalorebikers #bangalorediaries #bangaloreblogger #bangaloredays #bangalorebloggers",@mizzamy28 😈; @t13vision thank you 😊; Wow 😍; @travelogged_ps 😊; ,"Bangalore, India",False
7,joshidaniel,https://www.instagram.com/p/CHwueGxBO0E,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/125846870_124981152525806_542332943313466317_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=m1Bz_1adtI8AX8tzQ7n&tp=1&oh=3df700f2d9f5db5911c80d47fbebfc54&oe=5FF386FB&ig_cache_key=MjQ0NTY1ODk3NjY1MDg0OTU0MA%3D%3D.2,2020-11-19 05:54:50,1679,image,"Time to relax.

w/ @sarath_shenoy

Shot on #GoProHERO9 • @gopro @goproindia

@joshidaniel #joshidaniel #goproindia #goprochooseyouradventure #goproliveit #goproselfie #goproawards #gopromoto #gopronature #moreeverything #hellofrom #bikersofindia #bikersofinstagram #bikersofkerala #390adventure #readytorace #ktmadventure #goadventure #ktm390adventure #ktmindia #ktmholics #ktmduke #ktmworld #instaktm #ktmforlife #ktmfamily #ktmkerala #karnatakaphotographers #karnatakafocus #karnatakadiaries",Awesome 👌; @18til_i_die thank you 😊; 😁; @mizzamy28 😍; ,Karnataka,False
8,joshidaniel,https://www.instagram.com/p/CHuKpmHBN_S,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125541695_733909077525254_1609007586173999161_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=4USH0ZZYSIcAX_gI1li&se=7&tp=1&oh=3c954b072c942e52c55c6dd3ed130aa1&oe=5FCBEC7F,2020-11-18 06:03:28,1430,video,"Trippy ride on the #RoyalEnfieldMeteor 350.

Riding Gear: NH 44 Helmet • Streetwind V2 Jacket

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #royalenfieldkarnataka #cruiseeasy #missoutonnothing #tripstory #meteor350 #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #reapparel #bikersofkerala #bikersofindia #bikersofinstagram #nightphotography #lowlightphotography #nightride #nightl",👍💯; @towinjacobs 😊🙏; @rab_ee_h_mr_khan 😊🙏; hlooooooooiii I need your favour; ,,False
9,joshidaniel,https://www.instagram.com/p/CHrl5DEhCok,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/125543670_2896271377268416_1970184769854165065_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=DTZPsonyl0AAX8vgwkQ&tp=1&oh=2854e768fe1776f431b755cc7250cfb3&oe=5FF3D905&ig_cache_key=MjQ0NDIxMzg3MDgwNjcwNjcyNA%3D%3D.2,2020-11-17 06:03:40,2272,image,"Rainy night.

@joshidaniel #joshidaniel #hellofrom #bikersofindia #bikersofinstagram #bikersofkerala #390adventure #readytorace #ktmadventure #goadventure #ktm390adventure #ktmindia #ktmholics #ktmduke #ktmworld #instaktm #ktmforlife #ktmfamily #ktmkerala #nightlife #nightphoto #nightphotoshoot #lowlightphotography #shotoniphone #shotoniphone11 #bangalore #bangalorediaries #bangaloreblogger #bangaloredays #rainynight #automotivephotographer",🔥😍❤️; @ros_i_46_the_doctor 😊; @ros_i_46_the_doctor 😊🙏; @_fx__photography 😊🙏; ,"Bangalore, India",False
10,joshidaniel,https://www.instagram.com/p/CHpA30bBxR6,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/125342579_2490593121244729_3764280153633831989_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=E0E4wRU14UwAX9E8LwH&tp=1&oh=595d734e59d83d4bb3784d2401ad62da&oe=5FF4DC9B&ig_cache_key=MjQ0MzQ4ODEwODY4NDQ0ODg5MA%3D%3D.2,2020-11-16 06:01:43,2092,image,"A beautiful day.

#MissOutOnNothing #RoyalEnfieldMeteor

Riding Gear: NH 44 Helmet • Burnish Gloves • Streetwind V2 Jacket

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #royalenfield #royalenfieldkarnataka #cruiseeasy #tripstory #meteor350 #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #reapparel #regear #bikersofkerala #bikersofindia #bikersofinstagram #bangalorediaries #karnatakapictures",@bad_personal Royal Enfield sent that.; @joshidaniel oh okay; 😍; @abhishekmandainc 😊🙏; ,"Bangalore, India",False
11,joshidaniel,https://www.instagram.com/p/CHkCAwZhQca,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/125225089_3282797238514256_305134973868673513_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=7qYlXYWH_CgAX9h0q7w&tp=1&oh=2b18c3c72e23185de53fccc5cb604477&oe=5FF1C990&ig_cache_key=MjQ0MjA4NTc0NjAwMjQyOTcyMg%3D%3D.2,2020-11-14 07:35:28,1861,image,"Happy Deepavali.

#RoyalEnfieldMeteor #MissOutOnNothing

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #royalenfieldkarnataka #cruiseeasy #tripstory #meteor350 #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #bikersofkerala #bikersofindia #bikersofinstagram #nightphotography #lowlightphotography #nightphoto #lightpainting #lightpaintingphotography",👏👏; Awesome click 👌👌 Greetings😊; @sandy_d_biker 😊🙏; @xhobdo thank you 😊; ,"Bangalore, India",False
12,joshidaniel,https://www.instagram.com/p/CHhRO7zBFLx,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124938527_1828020764018193_8184418190918114676_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6EqIuiWyzKgAX9355IM&tp=1&oh=7353890b2b008bdba6107a03719ee802&oe=5FF2058D&ig_cache_key=MjQ0MTMwODI2NjA4MTU3MTU2OQ%3D%3D.2,2020-11-13 05:50:45,2085,image,"A colourful night ride on the #RoyalEnfieldMeteor 350. #MissOutOnNothing

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #royalenfieldkarnataka #cruiseeasy #tripstory #meteor350 #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #reapparel #bikersofkerala #bikersofindia #bikersofinstagram #nightphotography #lowlightphotography #nightphoto #diwali2020",@sixtyxgp thank you 😍; @goprochoudhary 😊🙏; @18til_i_die thank you 😊; @chaseblackracing 😈; ,"Bangalore, India",False
13,joshidaniel,https://www.instagram.com/p/CHetdyBBuNj,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/124417777_212308193659647_4408127002110230022_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=qtrA6YhlKVwAX8W05E2&tp=1&oh=10f566c8e776dbc507e55607d1480dbb&oe=5FF2C089&ig_cache_key=MjQ0MDU4ODAwNjc0MzUzMjM4Nw%3D%3D.2,2020-11-12 05:59:44,2615,image,"Sit back and enjoy.

#MissOutOnNothing #RoyalEnfieldMeteor

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #royalenfield #royalenfieldkarnataka #cruiseeasy #tripstory #meteor350 #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #bikersofkerala #bikersofindia #bikersofinstagram #karnatakatourism #karnatakapictures #karnatakaphotographers #karnataka_ig",🔥😍❤️; @_fx__photography 😊🙏; 😍; @___sidhu____ 😊🙏; ,Karnataka,False
14,joshidaniel,https://www.instagram.com/p/CHcIAdfBsDX,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124421951_480606952916624_7787700952417611986_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=fzvy7qaXR7wAX9tkWx7&tp=1&oh=440de6ad37cb3cc885ae60d9ae82fd77&oe=5FF3F89C&ig_cache_key=MjQzOTg2MDMxNDE1OTEwNDIxNQ%3D%3D.2,2020-11-11 05:53:56,2508,image,"Finally managed to go for a morning ride after about 1.30 hours of snoozing the alarm. #MissOutOnNothing with the #RoyalEnfieldMeteor 350.

Shot on #GoProHERO9 • @gopro @goproindia @royalenfield

@joshidaniel #joshidaniel #goproindia #goproliveit #goproselfie #goproawards #gopromoto #moreeverything #hellofrom #royalenfield #royalenfieldkarnataka #cruiseeasy #tripstory #meteor350 #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #regear #reapparel #bikersofkerala #bikersofindia #bikersofinstagram #motionblur #morningride",@sujithbabu53 thank you 😊; @joshidaniel give us the deets 😭😭😭; 🔥😍❤️; @_fx__photography 😊; ,"Bangalore, India",False
15,joshidaniel,https://www.instagram.com/p/CHXAAjhBkCW,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/123937623_355400995750661_8025235594094069834_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=s9qGhlxfCmsAX-3KVPV&tp=1&oh=60dd07e66336988e6942aad551044aa0&oe=5FF3AF00&ig_cache_key=MjQzODQxNzc1NzcwNTI2ODYyMA%3D%3D.2,2020-11-09 06:07:50,2561,sidecar,"#RoyalEnfieldMeteor 350 - Supernova Blue. The overall quality and finish is so good. Excellent handling with a refined and smooth engine makes the bike super impressive.

#MissOutOnNothing #CruiseEasy
#RoyalEnfield @royalenfield

@joshidaniel #joshidaniel #hellofrom #royalenfieldkarnataka #tripstory #meteor350 #ridemore #ridepure #royalenfieldindia #royalenfieldlovers #royalenfieldriders #royalenfieldreposts #rerides #bikersofkerala #bikersofindia #bikersofinstagram #lowlightphotography #nikonasia #nikonindiaofficial #bangalorebikers #bangalorediaries #bangaloreblogger #bangaloredays #bangalorebloggers #bangaloretimes #automotivephotography #automotivephotographer",❤️; 🔥🔥🔥🔥; @___loozer_kid 😊🙏; @athish_allakot 😊; ,"Bangalore, India",False
